death_rate,cancer_rate,income,population,poverty,white,black,asian,married,birth
164.9,489.8,61,260.13,11.2,81.8,2.6,4.8,52.9,6.1
161.3,411.6,48,43.27,18.6,89.2,1,2.2,45.4,4.3
174.7,349.7,49,21.03,14.6,90.9,0.7,0.5,54.4,3.7
194.8,430.4,44,75.88,17.1,91.7,0.8,1.2,51,4.6
144.4,350.1,49,10.32,12.5,94.1,0.3,0.7,54,6.8
176,505.4,52,61.02,15.6,84.9,1.7,1.5,51.2,5
175.9,461.8,37,41.52,23.2,75.1,0.6,0.9,51,4.2
183.6,404,40,20.85,17.8,89.4,0.3,1.89,49,5.9
190.5,459.4,42,13.09,22.3,91.8,0.2,0.2,53.4,5.59
177.8,510.9,60,843.95,13.1,74.7,6.7,6.04,50.1,5.53
121.4,413.3,54,16.25,12.7,92.6,0.7,1.4,50,4.6
172.7,499.3,51,121.85,15.7,85.6,0.81,1.9,52.9,5.8
188.3,398.9,52,11.34,12.6,93.4,0.84,1,52.9,4.8
165.3,493.4,71,772.5,9.9,78.8,2.6,9.5,52.7,4.7
171,440.7,50,490.95,16.3,89,1.83,2.3,48.2,5.4
174.2,423.8,43,43.79,19.3,89.2,0.5,0.6,55.2,3.6
169.9,495.9,61,269.54,11.9,82.6,2.84,5.8,50.9,5.2
153.8,463.2,51,4.04,13.9,93,0.1,1.14,53.4,0.5
162.8,442.5,49,60.34,15.7,86.2,1.6,1.6,49.33,4.1
163.3,490.9,53,212.28,15.7,85.5,0.9,3.9,48.1,4.5
140.8,390.5,41,48.18,28.4,83.6,2.15,7.6,40.6,3.3
169.4,411,44,248.83,20.5,78,0.84,1.1,50.7,6.56
189.7,445.2,35,16.7,21.5,96.8,0.8,0.4,55.3,2.3
206.1,463.1,56,111.9,13.2,87.8,7.3,1.1,51.5,4.87
236.7,501.8,37,23.37,22.1,98.3,0.7,0.1,53.1,4.2
196.3,396.6,33,14.42,22.2,97.9,0.5,0,53.3,5.47
186.2,481.6,43,23.35,15.1,96.8,1.7,0.5,47.6,5
194,483.4,34,96.84,21.9,91.1,4.8,1.2,40.8,4.5
226.5,459.9,32,7.47,21.8,98.3,0.1,0.05,53.3,4.78
